R_Subgroup,R_IPM
ERCOT,ERC_REST
NA,ERC_GWAY
NA,ERC_FRNT
ERCOT,ERC_WEST
NA,ERC_PHDL
EAST,FRCC
EAST,MIS_MAPP
EAST,MIS_IL
EAST,MIS_INKY
EAST,MIS_IA
EAST,MIS_MIDA
EAST,MIS_LMI
EAST,MIS_MO
EAST,MIS_WUMS
EAST,MIS_MNWI
EAST,MIS_WOTA
EAST,MIS_AMSO
EAST,MIS_AR
EAST,MIS_D_MS
EAST,MIS_LA
EAST,NENG_CT
EAST,NENGREST
EAST,NENG_ME
EAST,NY_Z_C&E
EAST,NY_Z_F
EAST,NY_Z_G-I
EAST,NY_Z_J
EAST,NY_Z_K
EAST,NY_Z_A
EAST,NY_Z_B
EAST,NY_Z_D
EAST,PJM_WMAC
EAST,PJM_EMAC
EAST,PJM_SMAC
EAST,PJM_West
EAST,PJM_AP
EAST,PJM_COMD
EAST,PJM_ATSI
EAST,PJM_Dom
EAST,PJM_PENE
EAST,S_VACA
EAST,S_C_KY
EAST,S_D_AECI
EAST,S_C_TVA
EAST,S_SOU
EAST,SPP_NEBR
EAST,SPP_N
NA,SPP_KIAM
EAST,SPP_WEST
EAST,SPP_SPS
EAST,SPP_WAUE
WEST,WEC_CALN
WEST,WEC_LADW
WEST,WEC_SDGE
WEST,WECC_SCE
WEST,WECC_MT
WEST,WEC_BANC
WEST,WECC_ID
WEST,WECC_NNV
WEST,WECC_SNV
WEST,WECC_UT
WEST,WECC_PNW
WEST,WECC_CO
WEST,WECC_WY
WEST,WECC_AZ
WEST,WECC_NM
WEST,WECC_IID
Canada,CN_AB
Canada,CN_BC
Canada,CN_MB
Canada,CN_NB
Canada,CN_NF
Canada,CN_NL
Canada,CN_PE
Canada,CN_NS
Canada,CN_ON
Canada,CN_PQ
Canada,CN_SK
